,word,count
34354,"('codigo', 'civil', 'comercial')",354
33795,"('civil', 'comercial', 'nacion')",259
141448,"('regular', 'honorario', 'profesional')",210
139553,"('recurso', 'apelacion', 'interpuesto')",175
151429,"('señora', 'asesora', 'familia')",157
156067,"('suma', 'pesos', 'mil')",150
42380,"('contrario', 'sensu', 'ley')",149
147346,"('roberto', 'julio', 'rossi')",137
71967,"('fabian', 'eduardo', 'faraoni')",136
82739,"('graciela', 'melania', 'moreno')",135
22682,"('aumento', 'cuota', 'alimentario')",131
93644,"('interponar', 'recurso', 'apelacion')",128
19671,"('art', '130', 'cpcc')",113
137692,"('rechazar', 'recurso', 'apelacion')",112
105850,"('melania', 'moreno', 'ugar tu')",110
93454,"('interes', 'superior', 'niño')",109
85818,"('honorario', 'profesional', 'abogada')",102
44521,"('corresponder', 'regular', 'honorario')",102
68990,"('excma', 'camara', 'familia')",101
148321,"('salario', 'minimo', 'vital')",96
161746,"('tribunal', 'resolver', 'i')",95
149228,"('sensu', 'ley', '9459')",93
107561,"('minimo', 'vital', 'movil')",93
28165,"('camara', 'familia', 'nominacion')",91
23444,"('auto', 'nº', 'fecha')",91
43525,"('copia', 'oportunamente', 'bajen')",88
1931,"('26', 'contrario', 'sensu')",87
19833,"('art', '26', 'contrario')",87
85819,"('honorario', 'profesional', 'abogado')",86
86837,"('ii', 'imponer', 'costa')",85
41261,"('contencioso', 'recurso', 'apelacion')",85
48199,"('cuota', 'alimentario', 'fijado')",85
57314,"('dictar', 'decreto', 'auto')",83
97903,"('juzgado', 'familia', 'nominacion')",82
151354,"('señor', 'vocal', 'camara')",80
166176,"('visto', 'auto', 'caratulado')",80
44568,"('corresponder', 'tratamiento', 'ii')",79
42692,"('convencion', 'derecho', 'niño')",75
85035,"('hijo', 'menor', 'edad')",72
166569,"('vocal', 'camara', 'doctor')",72
46979,"('cuestion', 'planteado', 'señor')",69
144918,"('resolver', 'tribunal', 'considerar')",69
124323,"('planteado', 'señor', 'vocal')",69
142975,"('reposicion', 'apelacion', 'subsidio')",68
45115,"('costa', 'orden', 'causado')",66
139526,"('recurso', 'apelacion', 'expte')",66
161368,"('tribunal', 'considerar', 'i')",65
117164,"('ordenar', 'correr', 'traslado')",64
89094,"('incidente', 'aumento', 'cuota')",63
59139,"('dispuesto', 'art', '26')",63
