,word,count
37890,"('medida', 'excepcional', 'proteccion')",93
10475,"('cese', 'medida', 'excepcional')",89
23319,"('excepcional', 'proteccion', 'derecho')",87
41133,"('niño', 'niña', 'adolescente')",74
54585,"('secretaria', 'niñez', 'adolescencia')",71
40564,"('niñez', 'adolescencia', 'familia')",70
32523,"('interes', 'superior', 'niño')",70
40569,"('niñez', 'adolescencia', 'violencia')",47
3210,"('adolescencia', 'violencia', 'familiar')",47
19998,"('documento', 'nacional', 'identidad')",45
14070,"('convencion', 'derecho', 'niño')",45
61722,"('violencia', 'familiar', 'genero')",42
19197,"('direccion', 'asunto', 'legal')",41
24192,"('f.', 'm.', 't.')",41
10983,"('codigo', 'civil', 'comercial')",39
6155,"('asesora', 'niñez', 'juventud')",36
22062,"('equipo', 'tecnico', 'fuero')",36
39666,"('nacional', 'identidad', 'numero')",36
40961,"('niño', 'f.', 'm.')",34
22055,"('equipo', 'tecnico', 'adopcion')",32
40420,"('niña', 'niño', 'adolescente')",31
35269,"('ley', 'provincial', 'n°')",31
57015,"('sra', 'asesora', 'niñez')",30
42152,"('o.', 'd.', 's.')",30
34127,"('juventud', 'violencia', 'familiar')",29
40605,"('niñez', 'juventud', 'violencia')",29
6544,"('asunto', 'legal', 'senaf')",29
33184,"('j.', 'c.', 's.')",28
56917,"('sr', 'o.', 'd.')",28
50153,"('r.', 'm.', 'f.')",27
6174,"('asesoria', 'letrada', 'civil')",27
34734,"('legalidad', 'medida', 'excepcional')",26
5738,"('art', '3', 'ley')",26
48853,"('proteccion', 'derecho', 'adoptado')",26
38012,"('medida', 'tercer', 'nivel')",25
6142,"('asesor', 'niñez', 'juventud')",25
5784,"('art', '48', 'ley')",24
10803,"('civil', 'comercial', 'nacion')",24
37854,"('medida', 'excepcional', 'dispuesto')",24
9430,"('caracter', 'representante', 'complementario')",24
13479,"('contacto', 'directo', 'personal')",23
16606,"('defensa', 'publico', 'asesoria')",23
28504,"('guarda', 'judicial', 'preadoptivo')",22
5811,"('art', '56', 'ley')",22
24079,"('f.', 'a.', 'v.')",22
40604,"('niñez', 'juventud', 'turno')",20
43623,"('otorgar', 'guarda', 'judicial')",20
40898,"('niño', 'e.', 'a.')",20
50339,"('radio', 'mitre', 's.a')",20
6060,"('arts', 'ley', '9944')",20
