,word,count
125019,"('señora', 'vocal', 'doctora')",323
133747,"('tribunal', 'superior', 'justicia')",315
133854,"('tsj', 'sala', 'penal')",225
138028,"('vocal', 'doctora', 'aido')",194
45335,"('doctora', 'aido', 'tarditti')",192
81760,"('macer', 'marta', 'cacer')",191
83058,"('marta', 'cacer', 'bollati')",190
124976,"('señor', 'vocal', 'doctor')",190
138073,"('vocal', 'tribunal', 'superior')",175
138027,"('vocal', 'doctor', 'sebastian')",150
18785,"('camara', 'criminal', 'correccional')",145
122361,"('sebastian', 'cruz', 'lopez')",142
121335,"('sala', 'penal', 'tribunal')",131
99407,"('penal', 'tribunal', 'superior')",128
113569,"('recurso', 'casacion', 'interpuesto')",125
138031,"('vocal', 'doctora', 'macer')",124
45326,"('doctor', 'sebastian', 'cruz')",117
45343,"('doctora', 'macer', 'marta')",113
76958,"('juicio', 'razon', 'necesario')",110
111640,"('razon', 'necesario', 'decidir')",110
88006,"('necesario', 'decidir', 'correctamente')",108
35230,"('cuestion', 'adherir', 'voto')",104
32743,"('correctamente', 'presente', 'cuestion')",99
104913,"('presente', 'cuestion', 'adherir')",98
37601,"('decidir', 'correctamente', 'presente')",97
138218,"('votar', 'consecuencia', 'forma')",85
5459,"('adherir', 'voto', 'expidiendome')",83
5454,"('adherir', 'votar', 'consecuencia')",83
52524,"('estimo', 'correcto', 'solucion')",81
35521,"('cuestion', 'señora', 'vocal')",80
138269,"('voto', 'expidiendome', 'sentido')",79
126529,"('solucion', 'señora', 'vocal')",75
43205,"('dictado', 'camara', 'criminal')",75
34789,"('cruz', 'lopez', 'peña')",74
112540,"('rechazar', 'recurso', 'casacion')",73
32793,"('correcto', 'solucion', 'señora')",73
104394,"('preopinante', 'juicio', 'razon')",70
138060,"('vocal', 'preopinante', 'juicio')",70
34791,"('cruz', 'lopez', 'peño')",67
128863,"('suspension', 'juicio', 'prueba')",62
122366,"('sebastian', 'lopez', 'peña')",61
123906,"('sentido', 'señora', 'vocal')",60
15896,"('año', 'mes', 'prision')",60
12428,"('art', '468', 'inc')",60
128262,"('superior', 'justicia', 'vocal')",59
77698,"('justicia', 'vocal', 'tribunal')",59
18207,"('cacer', 'bollati', 'macer')",55
138074,"('vocal', 'voto', 'adherir')",55
121121,"('sala', 'audiencia', 'firmar')",53
92421,"('nº', 'resolucion', 'año')",53
